title,rooms,area_m2,price,price_per_m2,address,district,latitude,longitude,link
3-комнатная квартира · 130 м² · 9/16 этаж,3,130.0,45500000,350000.0,"Наурызбайский р-н, мкр Шугыла, Жуалы 14",Наурызбайский,,,https://krisha.kz/a/show/1005235939
4-комнатная квартира · 170 м² · 6/7 этаж,4,170.0,230000000,1352941.18,"Бостандыкский р-н, Мкр. Мирас 157",Бостандыкский,,,https://krisha.kz/a/show/1004176533
2-комнатная квартира · 60 м² · 5/5 этаж,2,60.0,37000000,616666.67,"Турксибский р-н, Толстого 11/3 — спортивный комплекс Абылай хана",Турксибский,,,https://krisha.kz/a/show/1005187333
3-комнатная квартира · 76.28 м²,3,76.28,57057440,748000.0,"Жетысуский р-н, Райымбека 219Б",Жетысуский,,,https://krisha.kz/a/show/761881423
1-комнатная квартира · 43.16 м²,1,43.16,40872520,947000.0,"Жетысуский р-н, Райымбека 219Б",Жетысуский,,,https://krisha.kz/a/show/761880982
3-комнатная квартира · 90.65 м²,3,90.65,67534250,745000.0,"Турксибский р-н, Тараз 8/1",Турксибский,,,https://krisha.kz/a/show/694704258
4-комнатная квартира · 113.51 м²,4,113.51,84337930,743000.0,"Турксибский р-н, Тараз 8/1",Турксибский,,,https://krisha.kz/a/show/694704262
1-комнатная квартира · 48.5 м²,1,48.5,75902500,1565000.0,"Медеуский р-н, Талгат Бигелдинов 1/2",Медеуский,,,https://krisha.kz/a/show/1005842256
1-комнатная квартира · 44.1 м² · 4/13 этаж,1,44.1,26500000,600907.03,"Ауэзовский р-н, Райымбека 348/1 — Сайран",Ауэзовский,,,https://krisha.kz/a/show/1005959603
2-комнатная квартира · 65.44 м²,2,65.44,61513600,940000.0,"Медеуский р-н, Кульджинский тр-т 80/1",Медеуский,,,https://krisha.kz/a/show/760760838
2-комнатная квартира · 108.3 м²,2,108.3,92055000,850000.0,"Наурызбайский р-н, мкр Таусамалы, мкр. Таусамалы 49/1",Наурызбайский,,,https://krisha.kz/a/show/699220014
3-комнатная квартира · 138.4 м²,3,138.4,99173011,716568.0,"Медеуский р-н, Омаровой 35/1",Медеуский,,,https://krisha.kz/a/show/1005703861
3-комнатная квартира · 64 м² · 5/5 этаж,3,64.0,53000000,828125.0,"Медеуский р-н, Маметовой — Конаева",Медеуский,,,https://krisha.kz/a/show/1004818621
1-комнатная квартира · 37 м² · 9/12 этаж,1,37.0,28000000,756756.76,"Алатауский р-н, мкр Акбулак, Байтерекова 95 — Almaty Arena",Алатауский,,,https://krisha.kz/a/show/1006040918
4-комнатная квартира · 142.8 м²,4,142.8,109956000,770000.0,"Наурызбайский р-н, мкр Таусамалы, мкр. Таусамалы 49/1",Наурызбайский,,,https://krisha.kz/a/show/699220031
3-комнатная квартира · 86.85 м²,3,86.85,58102650,669000.0,"Турксибский р-н, Тараз",Турксибский,,,https://krisha.kz/a/show/694706348
2-комнатная квартира · 70 м² · 7/9 этаж,2,70.0,38000000,542857.14,"Алатауский р-н, мкр Аккент, мкр. Аккент",Алатауский,,,https://krisha.kz/a/show/1005516901
1-комнатная квартира · 50.5 м² · 7/9 этаж,1,50.5,45500000,900990.1,"Медеуский р-н, мкр Думан-2, Мкрн Думан-2",Медеуский,,,https://krisha.kz/a/show/1004887431
3-комнатная квартира · 83 м² · 7/12 этаж,3,83.0,75000000,903614.46,"Бостандыкский р-н, Сатпаева 90 — Туркебаева",Бостандыкский,,,https://krisha.kz/a/show/1003153671
3-комнатная квартира · 107 м² · 11/22 этаж,3,107.0,105000000,981308.41,"Бостандыкский р-н, Бухар жырау",Бостандыкский,,,https://krisha.kz/a/show/1004411199
3-комнатная квартира · 90 м² · 4/16 этаж,3,90.0,90000000,1000000.0,Байсеитовой 49,,,,https://krisha.kz/a/show/1006040558
2-комнатная квартира · 48.2 м² · 8/9 этаж,2,48.2,39500000,819502.07,"Ауэзовский р-н, Алтынсарина",Ауэзовский,,,https://krisha.kz/a/show/1000363719
4-комнатная квартира · 73.6 м² · 5/5 этаж,4,73.6,57000000,774456.52,"Ауэзовский р-н, мкр №11 33 — Алтынсарина выше Сатпаева",Ауэзовский,,,https://krisha.kz/a/show/699745727
2-комнатная квартира · 62 м² · 11/12 этаж,2,62.0,44500000,717741.94,"Наурызбайский р-н, Коктерек 139/7 — Сабденова",Наурызбайский,,,https://krisha.kz/a/show/1005128462
3-комнатная квартира · 93.4 м² · 4/9 этаж,3,93.4,49000000,524625.27,"Алатауский р-н, мкр Нуркент, Нуркент (Алгабас-1) мкр 36",Алатауский,,,https://krisha.kz/a/show/1000106232
1-комнатная квартира · 26.7 м² · 3/3 этаж,1,26.7,17500000,655430.71,"Наурызбайский р-н, Үстірт 2636/5 5 — Жк теректі",Наурызбайский,,,https://krisha.kz/a/show/1005902460
2-комнатная квартира · 55.62 м² · 6/13 этаж,2,55.62,33500000,602301.33,"Алмалинский р-н, Муратбаева 14",Алмалинский,,,https://krisha.kz/a/show/699633774
2-комнатная квартира · 67 м² · 5/5 этаж,2,67.0,29500000,440298.51,"Алатауский р-н, мкр Саялы 100",Алатауский,,,https://krisha.kz/a/show/695920546
